02-05-2018 14.56, 2
02-05-2018 14.59, 11
02-05-2018 15.09, 10
02-05-2018 15.09, 1
02-05-2018 15.10, 89
02-05-2018 15.10, 0
02-05-2018 15.11, 45
02-05-2018 15.20, 4
02-05-2018 15.36, 13
02-05-2018 15.37, 20
02-05-2018 15.39, 5
02-05-2018 15.40, 16
02-05-2018 15.45, 12
02-05-2018 16.17, 16
02-05-2018 16.21, 3
02-05-2018 16.55, 12
02-05-2018 16.58, 10
02-05-2018 17.03, 8
02-05-2018 17.20, 11
02-05-2018 17.21, 2
02-05-2018 17.25, 2
02-05-2018 17.32, 6
02-05-2018 18.45, 10
02-05-2018 19.08, 70
02-05-2018 19.16, 402
02-05-2018 19.51, 6
02-05-2018 19.56, 19
02-05-2018 20.16, 4
02-05-2018 20.26, 8
02-05-2018 20.27, 38
02-05-2018 20.33, 10
02-05-2018 20.43, 149
02-05-2018 20.43, 0
02-05-2018 20.43, 1
02-05-2018 21.01, 158
02-05-2018 21.05, 238
02-05-2018 21.07, 23
02-05-2018 21.13, 31
02-05-2018 21.15, 84
02-05-2018 21.20, 197
02-05-2018 21.22, 58
02-05-2018 21.22, 8
02-05-2018 21.24, 2
02-05-2018 21.48, 33
02-05-2018 21.52, 11
02-05-2018 22.04, 3
02-05-2018 22.29, 76
02-05-2018 22.40, 8
02-05-2018 22.52, 85
02-05-2018 22.54, 63
02-05-2018 23.21, 14
02-05-2018 23.33, 11
02-05-2018 23.35, 10
02-05-2018 23.36, 18
02-05-2018 23.40, 36
02-05-2018 23.42, 9
02-05-2018 23.47, 1
03-05-2018 00.23, 1877
03-05-2018 00.35, 76
03-05-2018 00.38, 0
03-05-2018 00.38, 9
03-05-2018 00.50, 33
03-05-2018 08.55, 29
03-05-2018 09.00, 35
03-05-2018 09.05, 21
03-05-2018 09.24, 851
03-05-2018 09.28, 2
03-05-2018 09.50, 108
03-05-2018 10.02, 655
03-05-2018 10.05, 85
03-05-2018 10.06, 31
03-05-2018 10.10, 66
03-05-2018 10.14, 12
03-05-2018 10.21, 11
03-05-2018 10.35, 3
03-05-2018 10.41, 35
03-05-2018 10.50, 5
03-05-2018 10.54, 22
03-05-2018 10.55, 27
03-05-2018 10.56, 11
03-05-2018 10.57, 23
03-05-2018 10.59, 49
03-05-2018 11.00, 11
03-05-2018 11.00, 10
03-05-2018 11.01, 3
03-05-2018 12.12, 3
03-05-2018 12.23, 24
03-05-2018 12.25, 21
03-05-2018 12.30, 10
03-05-2018 12.33, 24
03-05-2018 12.34, 7
03-05-2018 12.34, 12
03-05-2018 12.39, 2
03-05-2018 12.40, 1
03-05-2018 12.57, 2
03-05-2018 13.04, 6
03-05-2018 13.07, 9
03-05-2018 13.12, 24
03-05-2018 13.15, 1
03-05-2018 13.15, 40
03-05-2018 13.19, 48
03-05-2018 13.21, 108
03-05-2018 13.24, 88
03-05-2018 13.25, 47
03-05-2018 13.25, 2
03-05-2018 14.17, 456
03-05-2018 14.18, 17
03-05-2018 14.24, 5
03-05-2018 14.50, 52
03-05-2018 14.51, 6
03-05-2018 14.57, 2
03-05-2018 15.03, 33
03-05-2018 15.07, 3
03-05-2018 16.18, 165
03-05-2018 16.20, 4
03-05-2018 16.26, 10
03-05-2018 16.32, 10
03-05-2018 16.40, 4
03-05-2018 16.40, 2
03-05-2018 16.40, 10
03-05-2018 16.41, 25
03-05-2018 16.47, 9
03-05-2018 17.00, 0
03-05-2018 17.01, 10
